,,0,1
1,1,0.22697021846154194,0.08712552396305413
1,2,0.29536044106311693,0.062356981237485606
1,3,0.30541307265784867,0.0695683924104329
1,5,0.26266085932412336,0.0903133399126763
1,10,0.24577531612514011,0.9854143436903873
5,1,0.32068031104297795,0.010552548908209955
5,2,0.3226476855962395,0.02593587701445171
5,3,0.31544641640718213,0.03311128171282607
5,5,0.2730959536031695,0.03980967367852384
5,10,0.24851622137974336,0.12114024847181615
10,1,0.30600400188886967,0.030009609603996207
10,2,0.30435259637686984,0.03146651589562022
10,3,0.3002406763045708,0.0459222187398845
10,5,0.26985258003683227,0.02879835368484262
10,10,0.24537876119987262,0.07687148903851464
