secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20180102,03783310,AAPL,3571,0,4,,0,314,169.26,172.3,170.16,172.26,25547779,0.017905,28,5087056,31.23725
101594,20180103,03783310,AAPL,3571,0,4,,0,314,171.96,174.55,172.53,172.23,29505329,-0.000174,28,5087056,31.23725
101594,20180104,03783310,AAPL,3571,0,4,,0,314,172.08,173.47,172.54,173.03,22421552,0.004645,28,5087056,31.23725
101594,20180105,03783310,AAPL,3571,0,4,,0,314,173.05,175.37,173.44,175,23656013,0.011385,28,5087056,31.23725
101594,20180108,03783310,AAPL,3571,0,4,,0,314,173.93,175.61,174.35,174.35,20551040,-0.003714,28,5087056,31.23725
101594,20180109,03783310,AAPL,3571,0,4,,0,314,173.41,175.06,174.55,174.33,21579291,-0.000115,28,5087056,31.23725
101594,20180110,03783310,AAPL,3571,0,4,,0,314,173,174.3,173.16,174.29,23953898,-0.000229,28,5087056,31.23725
101594,20180111,03783310,AAPL,3571,0,4,,0,314,174.49,175.4886,174.59,175.28,18664676,0.00568,28,5087056,31.23725
101594,20180112,03783310,AAPL,3571,0,4,,0,314,175.65,177.36,176.18,177.09,25411568,0.010326,28,5087056,31.23725
101594,20180116,03783310,AAPL,3571,0,4,,0,314,176.14,179.39,177.9,176.19,29561225,-0.005082,28,5087056,31.23725
101594,20180117,03783310,AAPL,3571,0,4,,0,314,175.07,179.25,176.15,179.1,34364894,0.016516,28,5087056,31.23725
101594,20180118,03783310,AAPL,3571,0,4,,0,314,178.25,180.1,179.37,179.26,31170876,0.000893,28,5087056,31.23725
101594,20180119,03783310,AAPL,3571,0,4,,0,314,177.41,179.58,178.61,178.46,32411925,-0.004463,28,5087056,31.23725
101594,20180122,03783310,AAPL,3571,0,4,,0,314,176.6016,177.78,177.3,177,27102136,-0.008181,28,5087056,31.23725
101594,20180123,03783310,AAPL,3571,0,4,,0,314,176.82,179.44,177.3,177.04,32677214,0.000226,28,5087056,31.23725
101594,20180124,03783310,AAPL,3571,0,4,,0,314,173.2,177.3,177.25,174.22,51210760,-0.015929,28,5087056,31.23725
101594,20180125,03783310,AAPL,3571,0,4,,0,314,170.53,174.95,174.505,171.11,41517499,-0.017851,28,5087056,31.23725
101594,20180126,03783310,AAPL,3571,0,4,,0,314,170.06,172,172,171.51,39128076,0.002338,28,5087056,31.23725
101594,20180129,03783310,AAPL,3571,0,4,,0,314,167.07,170.16,170.16,167.96,50635860,-0.020698,28,5087056,31.23725
101594,20180130,03783310,AAPL,3571,0,4,,0,314,164.7,167.37,165.525,166.97,46036596,-0.005894,28,5087056,31.23725
101594,20180131,03783310,AAPL,3571,0,4,,0,314,166.5,168.4417,166.87,167.43,32444612,0.002755,28,5087056,31.23725
101594,20180201,03783310,AAPL,3571,0,4,,0,314,166.76,168.62,167.165,167.78,47134921,0.00209,28,5087056,31.23725
101594,20180202,03783310,AAPL,3571,0,4,,0,314,160.1,166.8,166,160.5,86537413,-0.04339,28,5087056,31.23725
101594,20180205,03783310,AAPL,3571,0,4,,0,314,156,163.88,159.1,156.49,72461920,-0.024984,28,5074013,31.23725
101594,20180206,03783310,AAPL,3571,0,4,,0,314,154,163.72,154.83,163.03,68234123,0.041792,28,5074013,31.23725
101594,20180207,03783310,AAPL,3571,0,4,,0,314,159.0685,163.4,163.085,159.54,51592297,-0.021407,28,5074013,31.23725
101594,20180208,03783310,AAPL,3571,0,4,,0,314,155.03,161,160.29,155.15,54358025,-0.027517,28,5074013,31.23725
101594,20180209,03783310,AAPL,3571,0,4,,0,314,150.24,157.89,157.07,156.41,70662191,0.012182,28,5074013,31.36307
101594,20180212,03783310,AAPL,3571,0,4,,0,314,157.51,163.89,158.5,162.71,60808377,0.040279,28,5074013,31.36307
101594,20180213,03783310,AAPL,3571,0,4,,0,314,161.65,164.75,161.95,164.34,32542243,0.010018,28,5074013,31.36307
101594,20180214,03783310,AAPL,3571,0,4,,0,314,162.88,167.54,163.045,167.37,40611567,0.018437,28,5074013,31.36307
101594,20180215,03783310,AAPL,3571,0,4,,0,314,169,173.09,169.79,172.99,51131136,0.033578,28,5074013,31.36307
101594,20180216,03783310,AAPL,3571,0,4,,0,314,171.77,174.82,172.36,172.43,40161364,-0.003237,28,5074013,31.36307
101594,20180220,03783310,AAPL,3571,0,4,,0,314,171.42,174.26,172.05,171.85,33924657,-0.003364,28,5074013,31.36307
101594,20180221,03783310,AAPL,3571,0,4,,0,314,171.01,174.12,172.83,171.07,37455893,-0.004539,28,5074013,31.36307
101594,20180222,03783310,AAPL,3571,0,4,,0,314,171.71,173.95,171.8,172.5,30979174,0.008359,28,5074013,31.36307
101594,20180223,03783310,AAPL,3571,0,4,,0,314,173.54,175.65,173.67,175.5,33807054,0.017391,28,5074013,31.36307
101594,20180226,03783310,AAPL,3571,0,4,,0,314,176.21,179.39,176.35,178.97,38149566,0.019772,28,5074013,31.36307
101594,20180227,03783310,AAPL,3571,0,4,,0,314,178.16,180.48,179.1,178.39,38918032,-0.003241,28,5074013,31.36307
101594,20180228,03783310,AAPL,3571,0,4,,0,314,178.05,180.615,179.26,178.12,37772304,-0.001514,28,5074013,31.36307
